column_name,description
transaction_id,Unique transaction identifier from the raw transaction id column.
transaction_date,Timestamp of the transaction.
client_id,Client identifier used to join client and subscription attributes.
age,Client age as of transaction_date.
age_group,"Age band: 18-25, 26-35, 36-45, 46-60, or 60+."
gender,Client gender; missing values set to Unknown.
city,Simulated Indian city for payment operations analysis.
state,State matching the simulated city.
income,"Client income, median-imputed when missing."
expenses,"Client expenses, median-imputed when missing."
income_minus_expenses,Income less expenses.
customer_segment,Income-based segment using 33rd and 66th percentile cutoffs.
product_category,Product category name joined from categories.csv.
product_name,"Product company when present, otherwise subtype/category fallback."
amount,Transaction amount.
transaction_type,Raw transaction type.
payment_mode,Simulated payment mode.
bank_name,Simulated bank name.
payment_gateway,Simulated payment gateway.
transaction_status,"Simulated status: Success 95%, Failed 4%, Pending 1%."
processing_time_ms,Simulated processing time based on status.
retry_count,Simulated retry count consistent with status.
error_code,Blank for Success; simulated error code for Failed/Pending.
subscription_status,Subscribed when an active client subscription exists on transaction_date.
subscription_amount,"Amount of the active subscription, if any."
subscription_start,"Start date of the active subscription, if any."
subscription_end,"End date of the active subscription, if any."
month,Transaction month in yyyy-MM format.
day_of_week,Day name of transaction_date.
hour,Hour of transaction_date.
device_type,Simulated device type.
network_type,Simulated network type.
